Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer_encoded
0.625,0.75,0.25,0.75,0.375,0.25,0
0.875,0.75,0.0,0.5,0.5,0.5,1
0.5,0.25,1.0,0.25,0.875,0.5,0
0.625,0.75,1.0,0.25,0.125,0.75,0
0.5,0.0,0.25,0.5,1.0,0.75,0
0.75,0.75,0.0,0.5,0.5,0.5,1
0.625,0.5,0.75,0.0,0.0,1.0,0
1.0,0.5,0.75,1.0,0.5,0.5,0
0.875,0.0,0.25,0.5,1.0,0.75,0
0.875,0.75,0.25,0.75,0.375,0.25,0
0.375,0.0,0.25,0.5,1.0,0.75,0
1.0,1.0,0.5,0.5,0.25,1.0,0
1.0,0.0,0.25,0.5,1.0,0.75,0
1.0,1.0,0.5,1.0,0.5,0.5,0
0.0,0.5,1.0,0.25,0.375,0.25,1
0.875,1.0,0.25,0.75,0.625,0.75,1
0.125,0.5,0.75,1.0,0.5,0.5,0
0.875,0.0,1.0,0.25,0.625,0.75,1
0.0,0.75,0.25,0.75,0.375,0.25,0
1.0,0.0,0.0,0.25,0.375,0.25,1
0.875,0.25,0.5,0.75,0.375,0.25,0
0.375,0.5,1.0,0.25,0.375,0.25,1
0.25,0.25,1.0,0.25,0.875,0.5,0
0.875,1.0,1.0,0.25,0.875,0.5,1
1.0,0.25,0.25,0.5,0.5,0.5,1
0.375,0.5,0.0,0.5,1.0,0.75,0
0.375,0.5,0.5,0.75,0.625,0.75,1
0.5,0.75,0.5,0.25,0.125,1.0,1
0.375,1.0,0.75,0.25,0.375,0.0,1
0.25,1.0,0.75,0.25,0.375,0.0,1
1.0,0.5,0.25,0.75,0.875,0.5,1
0.25,0.25,0.5,0.75,0.375,0.25,0
0.75,0.5,0.5,0.75,0.625,0.75,1
0.5,1.0,0.75,0.5,0.25,0.75,1
0.75,0.5,0.25,0.75,0.875,0.5,1
0.5,0.75,0.0,0.5,0.5,0.5,1
1.0,0.25,0.5,0.75,0.375,0.25,0
1.0,0.25,0.0,0.5,0.75,0.25,1
1.0,1.0,0.0,0.5,0.75,0.25,0
0.75,0.75,1.0,0.25,0.625,0.75,0
0.25,0.0,0.0,0.25,0.375,0.25,1
0.0,0.25,1.0,0.25,0.875,0.5,0
0.125,0.75,0.75,1.0,0.75,0.25,1
0.125,0.75,0.0,0.5,0.5,0.5,1
0.25,0.5,0.25,0.75,0.875,0.5,1
1.0,0.0,0.5,0.75,0.875,0.5,1
1.0,1.0,1.0,0.25,0.875,0.5,1
0.5,0.75,0.25,0.75,0.375,0.25,0
0.625,0.0,0.25,0.5,1.0,0.75,0
0.125,0.75,0.5,1.0,1.0,0.75,1
0.25,0.5,1.0,0.25,0.375,0.25,1
1.0,0.5,0.75,0.0,0.0,1.0,0
1.0,0.75,0.75,0.25,0.125,1.0,1
0.875,1.0,0.0,0.5,0.75,0.25,0
1.0,0.75,0.25,0.75,0.375,0.25,0
0.0,0.75,1.0,0.25,0.625,0.75,0
0.125,0.75,1.0,0.25,0.625,0.75,0
1.0,0.0,0.75,1.0,0.75,0.25,0
0.875,1.0,1.0,0.5,0.25,0.75,1
0.0,0.5,0.25,0.75,0.875,0.5,1
0.0,1.0,0.5,1.0,0.5,0.5,0
0.5,0.5,0.5,0.75,0.625,0.75,1
0.75,1.0,0.0,0.5,0.75,0.25,0
0.25,0.5,0.5,0.75,0.625,0.75,1
0.0,0.25,0.5,0.75,0.375,0.25,0
0.25,1.0,0.25,0.75,0.625,0.75,1
0.875,0.75,0.5,1.0,1.0,0.75,1
0.75,0.25,0.5,0.75,0.375,0.25,0
0.25,0.0,0.75,1.0,0.75,0.25,0
0.375,1.0,0.5,1.0,0.5,0.5,0
0.375,1.0,1.0,0.25,0.875,0.5,1
1.0,0.25,1.0,0.25,0.875,0.5,0
0.5,0.5,0.25,0.75,0.875,0.5,1
0.125,0.25,1.0,0.25,0.875,0.5,0
0.5,0.0,0.5,0.75,0.875,0.5,1
0.625,0.5,0.25,0.75,0.875,0.5,1
1.0,1.0,1.0,0.5,0.25,0.75,1
0.125,0.0,1.0,0.25,0.625,0.75,1
0.875,0.75,0.75,0.25,0.125,1.0,1
0.875,0.25,0.25,0.5,0.5,0.5,1
0.75,0.25,0.25,0.5,0.5,0.5,1
0.75,0.5,1.0,0.0,0.0,0.75,1
0.25,0.25,0.75,1.0,1.0,0.75,1
0.125,0.25,0.25,0.5,0.5,0.5,1
0.75,0.5,0.0,0.5,1.0,0.75,0
1.0,0.75,1.0,0.25,0.125,0.75,0
0.75,0.75,0.75,0.25,0.125,1.0,1
0.875,1.0,0.5,0.5,0.25,1.0,0
0.625,0.0,0.75,1.0,0.75,0.25,0
0.75,0.0,0.5,0.75,0.875,0.5,1
0.625,1.0,0.75,0.25,0.375,0.0,1
0.5,0.75,0.75,0.25,0.125,1.0,1
0.125,0.0,0.0,0.25,0.375,0.25,1
0.5,0.0,0.75,1.0,0.75,0.25,0
0.25,0.75,0.75,1.0,0.75,0.25,1
0.875,0.75,1.0,0.25,0.125,0.75,0
0.0,0.25,0.25,0.5,0.5,0.5,1
0.125,0.5,0.5,0.75,0.625,0.75,1
0.375,0.75,0.0,0.5,0.5,0.5,1
0.875,0.75,0.5,0.25,0.125,1.0,1
0.875,0.0,0.5,0.75,0.875,0.5,1
1.0,1.0,0.75,0.5,0.25,0.75,1
0.875,1.0,0.75,0.25,0.375,0.0,1
0.0,0.5,0.0,0.5,1.0,0.75,0
0.75,0.25,0.75,1.0,1.0,0.75,1
0.375,1.0,0.25,0.75,0.625,0.75,1
0.25,1.0,1.0,0.25,0.875,0.5,1
0.625,0.0,0.0,0.25,0.375,0.25,1
0.125,0.5,0.25,0.75,0.875,0.5,1
0.625,1.0,0.0,0.5,0.75,0.25,0
0.625,0.5,1.0,0.25,0.375,0.25,1
0.875,0.5,0.5,0.0,0.0,0.75,1
0.125,0.25,0.75,1.0,1.0,0.75,1
0.6000000000000001,0.75,1.0,0.25,0.625,0.75,0
0.75,1.0,0.0,0.5,0.75,0.25,0
0.25,0.5,0.0,0.5,1.0,0.75,0
0.17500000000000027,0.25,0.5,0.75,0.375,0.25,0
0.40000000000000036,0.0,0.75,1.0,0.75,0.25,0
0.2250000000000001,0.9500000000000002,0.5,1.0,0.5,0.5,0
0.050000000000000266,1.0,0.0,0.5,0.75,0.25,0
0.5500000000000003,0.75,1.0,0.25,0.625,0.75,0
0.8250000000000002,0.5,0.75,0.0,0.0,1.0,0
0.7750000000000004,0.6500000000000004,0.9000000000000004,0.15249916444565503,0.07500000000000007,0.8,0
0.0,0.75,1.0,0.25,0.625,0.75,0
0.7750000000000004,0.75,1.0,0.25,0.125,0.75,0
0.8000000000000003,0.25,1.0,0.25,0.875,0.5,0
0.42500000000000027,0.75,1.0,0.25,0.625,0.75,0
0.8250000000000002,0.6000000000000001,0.30000000000000027,0.75,0.375,0.25,0
0.10000000000000009,0.0,0.75,1.0,0.75,0.25,0
0.3250000000000002,0.25,0.5,0.75,0.375,0.25,0
0.625,0.20000000000000018,0.10000000000000009,0.5,1.0,0.75,0
0.6000000000000001,0.0,0.25,0.5,1.0,0.75,0
0.10000000000000009,0.30000000000000027,0.4500000000000002,0.75,0.375,0.25,0
0.1499999999999999,1.0,0.5,1.0,0.5,0.5,0
0.125,0.5,0.0,0.5,1.0,0.75,0
0.5,0.75,1.0,0.25,0.625,0.75,0
0.9000000000000004,0.75,1.0,0.25,0.125,0.75,0
0.5750000000000002,0.75,0.25,0.75,0.375,0.25,0
0.17500000000000027,0.25,0.5,0.75,0.375,0.25,0
0.050000000000000266,0.75,0.25,0.75,0.375,0.25,0
0.875,0.7000000000000002,0.9500000000000002,0.24029300608733717,0.12,0.75,0
0.30000000000000027,1.0,0.0,0.5,0.75,0.25,0
0.02499999999999991,0.8500000000000001,0.5500000000000003,1.0,0.5,0.5,0
0.9250000000000003,1.0,0.5,0.5,0.25,1.0,0
0.2749999999999999,1.0,0.5,1.0,0.5,0.5,0
0.6000000000000001,1.0,0.0,0.5,0.75,0.25,0
0.6750000000000003,0.75,1.0,0.25,0.625,0.75,0
0.25,0.0,0.75,1.0,0.75,0.25,0
0.17500000000000027,1.0,0.5,1.0,0.5,0.5,0
0.3500000000000001,0.5,0.0,0.5,1.0,0.75,0
0.2250000000000001,0.9500000000000002,0.5,1.0,0.5,0.5,0
0.7000000000000002,0.7000000000000002,0.6000000000000001,1.0,0.5,0.5,0
0.5750000000000002,0.25,1.0,0.25,0.875,0.5,0
0.30000000000000027,0.0,0.75,1.0,0.75,0.25,0
0.625,0.25,1.0,0.25,0.875,0.5,0
0.9500000000000002,0.050000000000000266,0.20000000000000018,0.5,1.0,0.75,0
0.5,1.0,0.0,0.5,0.75,0.25,0
0.2749999999999999,0.25,0.5,0.75,0.375,0.25,0
0.5250000000000004,0.0,0.25,0.5,1.0,0.75,0
0.4750000000000001,0.7000000000000002,0.25,0.75,0.375,0.25,0
0.1499999999999999,1.0,0.0,0.5,0.75,0.25,0
