Aug_Tmax,Aug_RH,Sep_RH,Oct_SRAD,Nov_SRAD,Dec_SRAD,Dec_RH,Dec_Rain,Yield_Class
30.35,79.87,80.5,20.2,16.08,16.7,80.35,89.2,Low
32.42,79.22,77.93,18.4,16.14,14.89,82.43,119.59,Medium
29.55,82.9,83.12,18.94,16.71,14.82,85.75,496.24,High
31.4,77.03,78.85,16.85,13.58,13.3,82.37,131.27,Low
35.29,73.67,69.19,19.24,12.72,16.6,84.16,51.66,Medium
31.59,78.28,78.11,21.32,16.17,15.08,85.37,279.77,High
35.81,71.08,70.08,16.9,15.49,15.08,83.39,71.24,Medium
31.57,77.99,79.71,20.54,15.37,12.97,86.56,336.81,Medium
32.42,76.08,78.18,19.62,13.41,16.71,83.36,92.34,Medium
34.07,75.75,75.16,19.09,14.66,14.22,85.36,144.56,Medium
33.9,68.92,74.07,17.26,13.79,13.72,78.61,43.6,Medium
36.77,69.3,75.08,17.39,13.25,14.03,86.85,275.27,Medium
35.07,66.0,73.6,18.18,14.2,13.8,81.36,489.79,Low
30.16,82.75,82.66,20.89,14.36,17.87,80.77,35.33,Medium
34.61,75.25,71.04,17.23,15.1,14.59,88.69,183.41,High
33.49,74.35,69.96,19.62,15.16,14.95,80.2,187.58,Medium
36.64,64.43,74.43,17.25,15.81,15.31,91.73,133.64,Medium
31.59,76.13,79.28,16.55,15.96,14.18,80.6,90.58,Low
31.07,77.46,79.18,18.77,14.08,11.56,84.11,352.31,Low
32.99,75.57,71.41,18.64,16.41,17.5,89.16,124.07,Medium
35.47,75.79,72.98,17.67,15.98,13.9,86.48,204.52,Medium
30.88,79.81,80.13,17.5,16.68,13.15,81.41,413.9,Low
31.5,78.41,77.22,16.04,13.12,12.08,88.43,389.69,Medium
33.3,69.48,68.74,17.1,16.81,13.83,81.46,137.74,Medium
33.95,73.04,74.99,20.78,15.41,14.94,80.6,97.87,Low
32.78,74.73,70.58,17.93,15.35,13.46,81.32,187.39,Low
28.89,84.68,83.54,19.31,16.08,14.73,82.45,193.23,High
31.46,79.37,78.18,16.04,13.12,12.08,89.41,288.86,Low
34.42,74.92,71.54,17.23,15.1,14.59,85.98,209.86,Medium
30.05,80.21,80.85,17.59,17.31,17.04,81.38,82.01,Medium
30.7,76.92,77.54,16.07,15.33,12.7,83.02,141.56,Low
30.62,80.54,79.31,18.89,17.2,16.93,82.06,144.15,Medium
34.2,75.64,74.75,18.39,18.32,15.38,82.72,376.65,Medium
34.72,74.61,73.99,19.73,14.83,12.88,87.4,324.36,High
29.34,82.64,81.26,16.81,14.7,13.75,87.25,234.46,Medium
34.87,69.47,71.4,18.32,16.33,14.15,83.6,504.355,Medium
38.03,64.07,64.45,16.88,15.19,14.09,72.48750000000003,26.73,Medium
33.33,78.44,78.7,18.02,17.14,15.33,84.88,97.89,Low
35.02,66.99,69.86,18.96,15.33,15.74,83.17,130.08,Medium
35.56,72.18,75.11,17.45,14.52,12.97,85.11,223.55,High
35.54,64.73,66.61,16.81,14.7,13.75,92.53,210.82,Medium
32.13,72.28,71.84,18.66,16.61,15.23,82.81,76.8,Low
34.89,73.05,71.37,19.44,18.57,15.83,89.52,280.97,Medium
34.53,69.18,72.27,18.23,16.27,13.31,83.94,504.355,Medium
29.82,83.55,83.01,20.31,14.24,14.67,85.33,238.32,High
32.02,77.11,78.96,18.77,14.08,11.56,84.62,458.61,Low
37.27,69.4,71.03,17.19,16.69,15.07,83.56,106.44,Medium
31.39,79.62,78.86,19.61,18.21,14.59,83.72,380.59,Low
34.23,63.16,66.53,18.18,17.77,16.85,90.36,88.76,Medium
33.69,76.21,73.71,18.63,16.4,14.55,81.59,276.73,Medium
34.76,65.63,67.23,16.88,15.19,14.09,73.23,26.62,Low
31.86,77.72,78.87,17.77,14.83,15.24,79.15,68.96,Low
29.48,81.48,82.92,16.45,14.8,16.42,80.12,29.72,Medium
33.61,71.45,73.75,19.8,14.15,12.33,83.52,138.39,Medium
31.11,83.33,82.45,20.54,15.37,12.97,87.85,304.11,Medium
33.78,70.27,71.91,18.55,13.67,11.23,87.59,504.355,Medium
30.71,79.82,79.41,17.56,17.3,14.55,80.72,233.27,Low
28.91,85.21,85.14,20.41,16.28,14.59,84.65,483.26,High
31.85,76.21,77.16,16.85,13.58,13.3,82.84,160.59,Low
34.15,71.57,74.67,18.07,18.03,12.91,81.5,300.44,Medium
35.51,69.6,72.49,16.35,14.17,15.21,76.5,18.04,Medium
33.46,74.7,75.09,20.45,18.55,13.73,89.94,165.85,Medium
33.71,73.36,74.46,17.91,15.63,15.51,85.99,177.29,Low
33.59,69.11,67.29,18.43,17.55,13.26,81.68,151.88,Low
34.66,71.31,67.42,19.0,16.45,12.96,83.12,395.93,Medium
34.6,73.28,77.11,16.17,14.2,13.7,80.54,292.86,Low
31.6,77.92,78.79,18.0,17.44,16.08,81.3,104.85,Low
34.15,73.4,72.53,19.09,18.76,15.01,82.25,251.44,Low
32.11,76.76,78.06,19.01,13.52,13.46,88.39,352.06,High
34.73,75.86,74.33,17.7,17.04,14.08,85.87,378.64,Medium
31.77,80.62,79.72,21.3,17.32,15.18,81.91,81.06,Medium
31.67,82.19,78.77,18.93,16.66,15.84,82.4,95.35,Medium
34.71,73.29,75.58,19.75,16.39,16.83,83.83,97.13,Low
35.28,73.06,70.69,19.05,16.41,15.15,84.81,236.69,Medium
32.54,76.54,77.8,20.41,16.28,14.59,91.66,504.355,Medium
31.61,74.9,75.62,16.03,15.22,13.75,80.03,100.53,Low
36.01,67.62,71.64,17.81,15.89,14.69,73.48,31.6,High
34.1,76.49,78.26,19.06,14.8,11.23,86.07,504.355,Low
35.68,70.95,69.8,18.43,17.55,13.26,81.59,106.58,Medium
31.89,76.18,77.12,17.65,12.44,12.41,86.27,429.7,Medium
32.23,76.81,72.0,18.83,16.1,14.63,84.17,128.5,Medium
30.79,77.93,77.48,16.74,13.11,14.73,75.09,23.66,Low
37.9,67.13,67.89,17.41,15.09,16.13,72.48750000000003,14.48,Medium
34.3,75.98,73.85,17.67,15.98,13.9,84.88,238.21,Medium
33.16,72.4,73.93,18.7,15.19,15.12,83.71,152.0,Medium
35.29,72.12,73.76,18.07,18.03,12.91,83.85,298.09,High
33.84,72.66,72.01,17.71,15.15,15.56,79.28,77.01,Low
35.26,68.88,63.21,20.89,14.36,17.87,86.73,34.43,Medium
33.87,69.17,68.84,18.73,16.67,14.35,83.37,130.03,Medium
34.36,72.05,76.03,18.66,14.44,14.64,80.78,403.66,Medium
36.2,74.18,73.33,19.73,14.83,12.88,89.42,290.01,High
31.92,78.87,78.78,17.5,16.68,13.15,81.45,408.74,Low
35.43,74.38,73.27,19.09,18.76,15.01,86.09,284.3,Medium
31.0,78.88,78.01,14.4675,12.95,11.5,85.82,378.3,Low
33.36,76.15,75.31,20.18,17.38,13.08,80.78,170.07,Medium
31.34,80.41,80.53,20.2,16.08,16.7,81.32,117.48,Medium
35.46,69.69,73.24,16.05,15.8,14.2,87.37,102.83,Low
31.57,75.46,77.51,16.71,15.47,15.34,84.67,93.2,Medium
35.25,75.96,79.59,20.04,15.51,12.05,90.04,504.355,Medium
34.0,72.76,73.35,19.8,14.15,12.33,85.52,150.33,High
35.36,73.73,74.83,17.25,17.23,13.73,80.92,67.15,Medium
33.3,69.48,68.74,17.1,16.81,13.83,81.46,137.74,Low
30.94,78.9,76.97,18.75,17.54,17.03,79.08,67.37,Low
34.73,69.86,67.58,17.1,16.81,13.83,84.48,108.12,Medium
36.47,71.92,74.84,17.02,17.61,13.72,87.29,229.47,Medium
33.82,70.87,73.06,17.45,14.52,12.97,81.1,176.75,Low
34.58,68.55,70.15,16.66,13.37,11.39,87.55,259.33,Low
35.29,69.71,69.06,17.76,15.14,15.33,83.92,98.81,Medium
36.08,75.73,77.25,19.38,15.25,15.8,77.34,65.85,Medium
32.61,75.86,79.95,17.88,15.4,15.67,75.53,70.18,Medium
33.68,73.54,70.28,18.89,15.82,14.89,80.04,162.12,High
31.73,76.87,75.48,17.12,15.27,13.83,80.23,235.98,Low
34.44,71.95,72.27,17.42,16.33,14.8,82.7,129.71,Low
33.91,70.43,69.14,16.16,15.69,14.27,80.83,84.02,Low
35.29,71.65,74.05,16.55,14.75,14.56,86.87,168.43,Low
30.54,77.82,78.11,19.08,15.68,16.59,85.83,102.62,Low
31.71,80.48,82.12,19.87,15.36,15.62,76.9,54.98,Low
33.48,71.2,74.93,19.68,16.56,15.57,80.24,94.11,Medium
34.95,72.17,75.61,17.04,15.26,14.76,75.27,34.28,Medium
33.04,75.86,73.95,18.55,16.03,14.42,82.18,254.23,Medium
31.09,76.75,75.93,17.12,15.27,13.83,80.3,215.04,Low
33.61,71.45,73.75,19.8,14.15,12.33,83.52,138.39,Low
30.49,78.61,75.95,19.18,14.3,15.19,78.95,137.36,Low
29.32,82.69,83.56,19.38,18.37,17.11,82.24,65.98,Medium
31.07,78.19,79.26,18.62,16.57,15.75,82.49,87.11,Medium
34.68,70.73,72.93,16.82,16.37,13.44,84.58,129.88,Low
32.68,78.42,80.77,16.73,14.16,14.78,86.48,126.67,Low
36.39,70.36,67.88,20.89,12.87,16.93,84.04,58.49,High
30.38,79.43,78.66,16.13,15.3,15.74,73.72,24.33,Medium
36.47,70.07,62.38,18.04,15.51,13.48,88.62,254.09,Medium
31.17,79.99,78.66,16.99,14.96,13.87,80.14,218.61,Medium
29.48,81.41,82.3,18.95,18.2,16.86,83.61,137.66,Medium
34.58,73.53,67.92,17.95,14.57,14.68,83.67,183.31,Medium
37.05,68.52,69.86,17.69,17.06,14.47,87.35,104.53,Medium
34.29,73.87,76.5,19.57,16.33,13.32,82.39,120.33,Medium
35.33,72.86,75.69,17.02,17.61,13.72,84.79,238.37,Medium
31.94,73.44,75.0,16.43,16.34,14.97,82.63,115.84,Medium
34.78,72.25,71.6,15.21,13.48,11.58,90.24,429.35,Low
33.81,72.53,72.49,20.72,17.42,12.09,82.99,215.2,Medium
31.43,76.57,79.59,17.01,11.82,15.38,81.99,108.91,Low
32.07,77.21,77.6,20.31,15.64,12.88,82.99,345.05,High
35.49,69.61,69.94,16.66,13.37,11.39,90.54,333.85,Low
29.65,83.01,83.25,19.25,15.19,13.51,86.73,504.355,High
36.2,68.93,76.96,18.37,16.44,12.59,91.26,228.67,Medium
34.46,73.26,72.82,19.12,15.65,13.77,86.85,295.38,High
30.92,80.91,83.94,17.25,15.81,15.31,85.16,142.6,Medium
34.3,73.75,75.33,18.42,18.4,14.12,81.18,267.1,Medium
29.42,79.78,79.8,18.18,17.77,16.85,84.28,98.66,Medium
31.52,80.23,80.45,18.61,18.6,15.3,85.4,200.11,Medium
34.01,72.28,74.98,20.04,15.51,12.05,84.64,504.355,Medium
31.9,77.9,78.03,17.1,15.13,16.63,75.33,19.86,Medium
33.95,73.04,74.99,20.78,15.41,14.94,80.6,97.87,Medium
31.37,78.08,79.79,18.77,16.58,16.65,81.94,60.8,Medium
34.58,71.21,73.91,17.91,15.63,15.51,88.07,151.17,Medium
31.24,80.2,78.3,18.93,16.66,15.84,83.06,209.43,Medium
30.18,83.52,83.53,18.37,16.44,12.59,84.85,330.26,High
34.75,71.97,75.85,18.94,16.71,14.82,92.35,473.33,Medium
35.38,71.43,77.3,17.39,13.25,14.03,84.41,274.53,Medium
34.54,69.99,72.63,16.77,13.4,14.34,76.64,31.79,Low
30.97,79.68,77.78,18.75,12.36,16.48,78.26,25.61,Low
31.5,78.68,76.72,16.99,14.96,13.87,80.22,250.66,Low
33.13,76.24,76.0,19.09,14.66,14.22,82.59,122.74,Low
35.18,71.64,75.43,19.14,16.25,14.21,78.28,160.98,Medium
37.76,68.88,69.51,17.89,13.25,14.83,87.86,98.59,Medium
35.3,66.74,67.05,18.95,18.2,16.86,90.41,103.4,Medium
34.99,74.75,78.06,18.33,14.42,11.23,89.59,450.15,Medium
36.7,59.71,61.94625,16.13,15.3,15.74,72.48750000000003,18.42,Medium
33.79,72.18,74.77,17.04,14.51,14.8,75.79,27.41,Low
34.72,71.07,70.39,20.31,14.24,14.67,92.37,289.11,Medium
35.65,63.58,66.87,18.45,16.38,17.74,88.5,139.84,Medium
32.06,75.83,80.06,17.36,13.25,14.52,79.11,246.49,Medium
29.9,79.91,80.75,18.39,15.0,14.83,78.62,81.51,Low
33.45,77.0,76.73,18.66,16.61,15.23,85.72,95.29,Medium
34.45,73.35,75.33,17.75,15.33,14.09,84.03,195.92,Low
35.51,62.72,65.36,16.98,16.65,16.39,75.6,22.45,Medium
35.5,74.29,75.34,19.57,16.33,13.32,84.76,117.72,Medium
34.76,65.63,67.23,16.88,15.19,14.09,73.23,26.62,Medium
30.67,83.33,80.24,18.62,16.57,15.75,84.33,53.05,Low
34.27,69.38,77.22,18.12,16.75,13.57,83.37,149.69,Medium
31.41,77.06,74.91,16.43,16.34,14.97,83.51,94.68,Low
28.33,86.91,84.67,20.45,18.55,13.73,84.67,163.81,High
31.63,77.26,73.59,19.18,14.3,15.19,78.54,170.66,Low
35.62,75.57,78.75,18.33,14.42,11.23,91.71,429.14,Medium
34.57,74.25,78.12,19.68,16.56,15.57,83.59,94.17,Medium
30.98,79.42,82.29,18.69,15.05,15.28,84.15,360.63,Medium
30.59,79.23,82.35,16.98,16.65,16.39,76.34,26.25,Medium
28.73,84.14,82.1,18.64,16.41,17.5,81.86,135.1,High
32.13,72.28,71.84,18.66,16.61,15.23,82.81,76.8,Medium
35.1,71.2,72.06,19.17,13.68,15.83,83.78,112.04,Medium
33.1,71.1,75.4,19.38,18.37,17.11,87.95,78.28,Medium
31.2,76.58,80.71,17.36,13.25,14.52,79.42,188.52,Low
34.48,75.55,76.18,19.54,13.74,15.1,77.63,68.14,Low
30.89,78.19,80.89,17.88,15.4,15.67,75.3,55.11,Low
32.36,73.36,73.22,16.03,15.22,13.75,79.88,100.19,Low
32.19,79.04,77.19,18.03,17.21,14.57,82.73,84.46,Low
34.04,68.73,71.47,17.69,17.06,14.47,83.31,92.77,Low
37.19,68.95,72.25,16.05,15.8,14.2,89.06,105.17,Medium
34.62,70.83,69.46,20.34,14.41,12.02,84.4,319.91,High
34.27,69.38,77.22,18.12,16.75,13.57,83.37,149.69,Low
33.29,67.45,68.98,18.62,16.16,14.7,83.71,104.69,Medium
31.52,77.7,75.73,17.2,14.7,15.4,77.37,72.58,Low
31.82,77.84,80.66,19.33,16.94,16.21,79.11,58.8,Medium
31.12,79.71,76.99,19.58,15.39,15.99,84.96,108.26,Medium
35.97,61.61,73.61,18.69,15.05,15.28,91.11,333.74,Medium
35.56,69.59,69.92,16.52,14.67,14.32,72.48750000000003,21.78,Low
32.73,73.11,72.5,19.12,15.65,13.77,82.38,313.56,High
32.26,77.98,77.75,16.71,15.47,15.34,85.24,112.7,Low
33.88,69.95,67.43,20.89,12.87,16.93,80.56,49.72,Low
33.59,69.11,67.29,18.43,17.55,13.26,81.68,151.88,Medium
36.17,70.6,74.0,17.04,15.26,14.76,73.69,25.33,Medium
31.93,77.23,78.63,18.03,17.21,14.57,80.45,53.44,Medium
36.22,70.47,70.03,15.21,13.48,11.58,92.26,407.98,Medium
33.44,75.97,78.05,18.62,15.67,15.45,79.93,90.25,Low
31.91,80.46,79.72,21.32,16.17,15.08,86.33,183.64,Medium
36.62,72.78,76.45,16.39,14.57,14.32,86.22,239.72,Medium
30.51,77.47,77.97,19.08,15.68,16.59,84.18,185.87,Medium
31.36,75.72,76.19,16.86,16.63,14.1,82.15,299.09,Low
31.65,76.07,79.11,19.75,16.68,14.01,77.65,147.83,Low
31.55,79.18,76.11,18.75,12.36,16.48,78.43,44.49,Medium
31.23,77.8,78.46,20.31,15.64,12.88,82.99,296.37,Low
31.35,78.72,78.64,18.61,18.6,15.3,83.19,191.24,Medium
31.31,79.97,77.25,18.75,17.54,17.03,80.67,58.5,Medium
36.04,68.95,69.75,17.41,15.09,16.13,72.48750000000003,13.46,Low
34.76,70.14,76.17,18.79,15.43,12.2,79.52,254.38,High
31.13,78.06,81.23,16.66,14.18,14.02,76.94,134.0,Low
32.3,75.05,75.59,16.88,14.5,14.97,72.48750000000003,12.81,Low
35.11,76.78,78.13,19.38,15.25,15.8,76.99,60.83,Low
33.68,73.54,70.28,18.89,15.82,14.89,80.04,162.12,Medium
31.88,76.19,77.08,17.03,15.86,13.06,79.76,66.24,Low
31.11,78.79,78.95,18.39,15.0,14.83,79.22,104.68,Low
34.94,67.51,68.75,17.52,17.01,17.87,87.94,92.26,Medium
31.39,77.63,74.33,19.1,15.76,16.57,81.7,145.04,Medium
33.82,70.87,73.06,17.45,14.52,12.97,81.1,176.75,Medium
30.69,78.37,80.51,15.28,13.93,13.79,77.33,169.36,Low
36.11,68.32,63.01,19.23,16.3,12.21,87.13,388.93,Medium
30.31,77.51,77.73,18.21,14.56,15.13,81.91,179.7,Low
30.1,82.66,78.45,19.34,16.54,14.01,85.53,313.91,Medium
34.53,69.18,72.27,18.23,16.27,13.31,83.94,504.355,Low
34.2,68.16,70.46,17.81,15.89,14.69,77.85,29.12,Medium
32.73,73.11,72.5,19.12,15.65,13.77,82.38,313.56,Medium
31.21,77.42,78.19,16.88,14.5,14.97,72.48750000000003,11.56,Low
33.49,73.81,73.34,18.34,16.52,13.59,80.18,73.74,Medium
36.19,70.64,71.91,17.89,13.25,14.83,86.26,101.38,Medium
35.68,65.31,72.51,16.45,14.8,16.42,81.94,25.71,Low
31.08,80.17,77.21,19.1,15.76,16.57,83.82,106.47,Medium
31.67,78.9,76.68,20.0,14.89,17.87,80.58,29.3,Medium
34.15,73.4,72.53,19.09,18.76,15.01,82.25,251.44,Medium
32.74,76.52,78.87,21.3,17.32,15.18,80.32,138.91,High
33.97,69.89,69.77,19.72,15.9,14.89,86.27,119.58,Medium
34.19,75.77,78.35,17.68,15.76,16.63,83.46,70.7,Low
29.976382152826925,83.31961418214713,83.3974867978715,18.55422567125183,16.527264791645607,13.310742538406284,85.14088263881868,383.90522265680494,High
33.16221250920259,74.91686630080349,77.83901381521669,18.6948940347346,14.676397284474067,13.660449280305576,86.29421587773558,491.8391762504413,High
31.785600289286663,76.01744439241621,75.65393865653321,19.066543412601135,15.964799903571112,14.081830093160063,83.38082610852325,367.8124965890289,High
30.95176943315471,80.65557083907613,79.34646262116713,19.824557083907614,17.866376347526927,13.955450353475163,85.20453551549757,154.15927035285355,High
36.3225591777031,70.4277230014697,68.03435200751635,20.859242470165846,12.90611893411717,16.800197580516418,84.08176251757298,61.08153352290698,High
34.75436709424132,70.33189432284581,75.97735462305303,18.73141778010969,15.417607607330897,12.289750965088354,79.86435830538083,251.71488452204164,High
30.02137715363002,83.36389497658827,83.4267692587116,18.51351590862046,16.50798121987285,13.151474519690563,85.07660406624282,372.05082546109395,High
33.73941446696154,71.63317193749961,74.32490201662506,18.95590799305551,15.540605328703675,12.989319845748954,80.95786927314778,284.13283342128864,High
33.90371894085863,72.99468508165708,72.42630358886251,19.52620073806674,14.652466777394006,13.10024847313093,83.8711868622041,153.87735527273972,High
33.246391241778944,76.34693330203628,76.38373108900821,20.144792513261066,15.409279199554252,12.88,84.82152437884712,329.3723791894642,High
34.62368869473545,70.96943266100013,69.62709787151603,20.317498962113735,14.425492517888904,12.051722774724897,84.5106608420636,320.0741469157277,High
33.02752381514724,75.39347516892964,76.01411711005466,19.052947923262213,14.35162796862282,13.581035056466233,87.78872907432904,329.93010644998054,High
29.913580117688703,83.26363369815328,83.38924987349591,18.812357540441397,15.811651220963924,13.052464701370553,85.79503656367027,417.77390454902866,High
32.788390026174994,76.36659332127503,78.42779752676259,21.175936209487528,17.242781873125015,15.165071162137503,80.30558594965,140.10482181651224,High
32.80940262523389,75.1076264670769,75.66364040756514,19.380599797434694,13.767995353170583,13.05874909149928,87.27820060769592,343.10151617479295,High
30.180213363409088,81.47903857362347,82.17513862545654,18.870282073334657,16.479747373776302,14.726431203685987,85.76284277596467,494.7713368343261,High
33.0593906084546,76.48412747127907,76.57707072685203,20.171054103413155,15.445954868559753,12.88,84.53038295698863,331.86451353768985,High
35.65273271813839,72.46978974418245,74.85208712767762,17.78036030836799,14.56491741034828,12.95695946151179,85.73449689871318,233.1797131991827,High
34.61316417191673,71.667092612066,74.53033325307017,18.951519410891596,15.537679607261063,12.968440833635773,83.10768873283453,274.44756317138007,High
34.75784756811659,70.21332617949483,76.09638682958739,18.767614708412538,15.425264649856498,12.234295414675664,79.65158533580579,253.36161272822932,High
35.4460112173782,69.05296720734809,71.31080483074436,18.07141969323242,15.873056130994195,14.7384110543023,75.06788258111544,63.19305403768104,High
33.34638517087694,73.81162992855143,72.02131789921259,18.50033618459711,15.469674551073233,14.03884885112718,84.44882469586891,270.8884414948751,High
31.704422584642217,78.02493298840173,77.98842600381765,21.079235811482004,16.043658396124222,14.55556315372318,84.80265468448235,295.3314715113413,High
29.660934639015984,83.3088996480608,83.3482129182973,20.38623624560076,16.127911971844867,14.183639799772997,84.25552167697262,450.41611504481045,High
30.708584982105663,79.65013407906793,79.25714300648005,18.414419569347842,16.268672501278168,16.736287939599325,79.58245300136738,106.97039208132747,High
30.719550362047226,79.29940313067851,79.21414313052153,19.006200963889466,16.320149879317594,14.433827710644785,84.51057084273612,429.05337731484684,High
33.78561045107298,72.5741354014705,76.86494198017813,18.870892717269413,14.727704136433736,12.66329465345209,82.78144728263494,290.2963664676191,High
28.6847766380261,85.49722874500321,83.9541114268402,19.72777612973258,16.98518161442059,14.363529710760895,83.26356404211081,182.44844409058553,High
32.08856901263701,77.00109860783364,77.81354364532561,19.706507089297187,14.655842330238489,13.149250683236641,85.4968167059963,348.30421946463593,High
34.69769910844308,73.205283036054,74.51301668225376,18.121465168931014,17.88373057251186,13.324430044549734,83.67032335759173,283.37367037883195,High
33.52518434585389,74.03079856314407,71.69475156288844,19.286920985629937,16.067046256616145,14.937762276279122,80.08611530123501,158.29737092262621,High
32.9600671721751,74.63643596988712,77.45372567720342,18.93942838570622,14.132689924096015,13.055817118135613,85.5446808237007,320.72620325356087,High
33.26598219932759,75.71050966486463,78.16869040089655,20.581903734960562,16.797748170880407,14.767794092016322,81.2134236648153,154.69692672024365,High
34.61611627123322,75.04163902665516,71.24917647617595,17.29360922082543,15.113455796713072,14.492547411684114,88.31609195194281,186.3038117961416,High
32.575948006916335,76.0217290463991,76.16265040957603,20.698157273646128,15.34360374524025,13.954955593767664,85.43136605852176,226.815182566286,High
31.915230893684296,77.55500613282875,77.76444217546043,20.635659994539296,15.810890888223591,13.58935840394698,83.75739681881537,324.0014015410642,High
32.6734828059993,76.64639925643026,78.92357868743699,21.255876375051905,17.304905075675652,15.218483763112626,80.34554525654889,138.84680037178487,High
31.824195332016345,77.75793957238022,77.86116745973263,20.827213988882274,15.91140932089862,14.006604728258418,84.20878147875229,311.62056515422296,High
34.270512446479835,71.98910350356823,74.59123995082913,18.407948846522554,16.492478762026515,14.472564055809979,76.01448772446493,61.54500643891938,High
32.7177984009104,76.6805343004529,76.47472025878267,19.056131102273703,16.026116842165983,14.142568570070077,86.45969006945039,366.6505933183579,High
34.28281804687401,72.70910257888585,72.58272452063308,19.029910257888584,16.997808886529384,14.241892814016905,85.88368134936266,141.89768502579247,High
32.0976375095241,76.8990780178539,77.91783135952713,19.411780940466794,14.175211995222773,13.280743888099432,86.72106378575332,349.8934735440983,High
33.08070571921435,74.46665939643782,74.73407602181538,19.524358010579714,13.864194458207479,12.903101101327227,86.84692596826086,339.62645861643773,High
34.47898100337898,73.06259756485862,73.03195453773193,19.09912089628312,15.636080597522081,13.670666082316673,86.38623081744026,292.7859295382061,High
36.01731824136436,70.79731660238426,68.21005026595039,20.614958111708013,13.275686785230679,16.649457273942172,83.48991622341603,72.74129544184927,High
29.830765166056636,83.18394383903563,83.34549857829407,18.94986161107577,15.616332938812823,13.196218957033762,86.08879526002552,444.97705361390524,High
28.684610591503766,84.45432165383643,82.39162694958831,18.845387073445465,16.65283333545486,17.07220482492298,82.17886059468606,138.3578247948173,High
32.95085786882002,76.00716354047701,78.2042915855825,21.106462598975906,17.271050851881068,15.117495703171207,80.75828314161876,138.78649753397684,High
32.43014428767564,76.49627960976912,77.5607711682606,19.098315665565696,13.680685447070914,13.38885682496097,88.26856595984717,348.6623000886532,High
